,dataset,test_bat,seed,model,re,rmse,mae
133,CALCE,CS2_37,4,gru,0.1394700139470014,0.08849006779169225,0.0862231646500769
134,CALCE,CS2_37,4,det,0.06694560669456066,0.026037456600993866,0.015072916773728531
135,CALCE,CS2_37,4,model_v1,0.09065550906555091,0.03598289496109813,0.024661373602867943
136,CALCE,CS2_37,5,lstm,0.10320781032078104,0.054220540418460576,0.051354229336774665
137,CALCE,CS2_37,5,gru,0.08228730822873083,0.03712016959454374,0.0257086720037704
138,CALCE,CS2_37,5,det,0.05718270571827057,0.021182346280353415,0.014664102379281278
139,CALCE,CS2_37,5,model_v1,0.06834030683403068,0.07709646316010653,0.0672035778666991
140,CALCE,CS2_38,1,lstm,0.12198391420911528,0.054586989238952915,0.044819828029991966
141,CALCE,CS2_38,1,gru,0.1353887399463807,0.07533311181200006,0.04915877410237378
142,CALCE,CS2_38,1,det,0.08445040214477212,0.03871778024835093,0.02427189305993822
143,CALCE,CS2_38,1,model_v1,0.13002680965147453,0.09409892336715335,0.08800708834038366
144,CALCE,CS2_38,2,lstm,0.1380697050938338,0.10266707790535202,0.05214758361443163
145,CALCE,CS2_38,2,gru,0.1836461126005362,0.08970523334877344,0.0851055745757534
146,CALCE,CS2_38,2,det,0.057640750670241284,0.03193029691943105,0.02498035589275214
147,CALCE,CS2_38,2,model_v1,0.10589812332439678,0.05955811832195714,0.03645261043577076
148,CALCE,CS2_38,3,lstm,0.13672922252010725,0.06663666059330613,0.03703492483144249
149,CALCE,CS2_38,3,gru,0.10187667560321716,0.05353001440450594,0.029917974508360812
150,CALCE,CS2_38,3,det,0.11796246648793565,0.05635287763545241,0.039989988357808114
151,CALCE,CS2_38,3,model_v1,0.10991957104557641,0.06202381510850566,0.05381699045479778
152,CALCE,CS2_38,4,lstm,0.13941018766756033,0.06094024760636782,0.034516278979951104
153,CALCE,CS2_38,4,gru,0.11394101876675604,0.06767236289015167,0.061207294052363734
154,CALCE,CS2_38,4,det,0.11126005361930295,0.05048565064081051,0.03859320295876325
155,CALCE,CS2_38,4,model_v1,0.08042895442359249,0.06095492339943879,0.05415049621072355
156,CALCE,CS2_38,5,lstm,0.13270777479892762,0.06607121534880328,0.06068638826122371
157,CALCE,CS2_38,5,gru,0.13404825737265416,0.06360535929707735,0.050833761629886884
158,CALCE,CS2_38,5,det,0.08847184986595175,0.038140968595769965,0.02624199249840954
159,CALCE,CS2_38,5,model_v1,0.0938337801608579,0.04718551855468598,0.03786281625539411
0,NASA,B0005,1,model_v2,0.16,0.037538060046692474,0.03617428321783299
1,NASA,B0005,2,model_v2,0.16,0.05671875284348892,0.0525900892094695
2,NASA,B0005,3,model_v2,0.144,0.05919890636646652,0.05434369504331052
3,NASA,B0005,4,model_v2,0.136,0.06082441230339636,0.056524037870678744
4,NASA,B0005,5,model_v2,0.168,0.04245309719141542,0.0409917110630092
5,NASA,B0006,1,model_v2,0.2018348623853211,0.05046008909969084,0.04367672152482361
6,NASA,B0006,2,model_v2,0.08256880733944955,0.02656717978944525,0.019788219960130044
7,NASA,B0006,3,model_v2,0.13761467889908258,0.024008234958737305,0.018660430324609033
8,NASA,B0006,4,model_v2,0.045871559633027525,0.052254460603520694,0.04004375500346314
9,NASA,B0006,5,model_v2,0.11009174311926606,0.03484200245585961,0.029990440606024987
10,NASA,B0007,1,model_v2,0.30177514792899407,0.0541407544093319,0.04888615088444512
11,NASA,B0007,2,model_v2,0.33136094674556216,0.0628384353739693,0.060418204333240605
12,NASA,B0007,3,model_v2,0.31952662721893493,0.06428055348307996,0.06195563719082883
13,NASA,B0007,4,model_v2,0.3431952662721893,0.5501802681548592,0.2756368287863801
14,NASA,B0007,5,model_v2,0.33727810650887574,0.07526316757017007,0.06897690033520351
15,NASA,B0018,1,model_v2,0.030927835051546393,0.017788499164144,0.01473490668273689
16,NASA,B0018,2,model_v2,0.041237113402061855,0.02371981266013465,0.01676539110222365
17,NASA,B0018,3,model_v2,0.07216494845360824,0.025688727722855943,0.017460949911951594
18,NASA,B0018,4,model_v2,0.10309278350515463,0.024731910715707732,0.01951314990472269
19,NASA,B0018,5,model_v2,0.041237113402061855,0.017207486856014753,0.014496322309698762
20,CALCE,CS2_35,1,model_v2,0.014040561622464899,0.07956347783471779,0.07248037300410516
21,CALCE,CS2_35,2,model_v2,0.06396255850234009,0.07640476484181918,0.06921707465921031
22,CALCE,CS2_35,3,model_v2,0.0218408736349454,0.07160421360510313,0.06425746097338061
23,CALCE,CS2_35,4,model_v2,0.0109204368174727,0.06316471100723016,0.05312983391859633
24,CALCE,CS2_35,5,model_v2,0.0265210608424337,0.056166353490486126,0.04896840883774879
25,CALCE,CS2_36,1,model_v2,0.272552783109405,0.08817518456796039,0.08294227577981429
26,CALCE,CS2_36,2,model_v2,0.32629558541266795,0.08496946727268179,0.08063701853766579
27,CALCE,CS2_36,3,model_v2,0.2706333973128599,0.0812420739789649,0.07708179998506176
28,CALCE,CS2_36,4,model_v2,0.2744721689059501,0.060023949844019604,0.056069909308659335
29,CALCE,CS2_36,5,model_v2,0.28598848368522073,0.06000487092123383,0.05720490891045336
30,CALCE,CS2_37,1,model_v2,0.09205020920502092,0.07892442892580588,0.07256341058458718
31,CALCE,CS2_37,2,model_v2,0.04881450488145049,0.07557869726684305,0.06875379929544712
32,CALCE,CS2_37,3,model_v2,0.08647140864714087,0.07189398978019865,0.06608054604164237
33,CALCE,CS2_37,4,model_v2,0.09344490934449093,0.06387965291901611,0.05476415170299949
34,CALCE,CS2_37,5,model_v2,0.08089260808926081,0.05770014323217289,0.05186127325172028
35,CALCE,CS2_38,1,model_v2,0.1193029490616622,0.08272169352343463,0.07750009045584025
36,CALCE,CS2_38,2,model_v2,0.0777479892761394,0.07914791399753607,0.07355509394086265
37,CALCE,CS2_38,3,model_v2,0.11528150134048257,0.07790295613115547,0.0727336154726305
38,CALCE,CS2_38,4,model_v2,0.12064343163538874,0.06911681148151329,0.05987292397686434
39,CALCE,CS2_38,5,model_v2,0.10991957104557641,0.06430570311870655,0.05816384685567846
